MS Mass (solMass),Period (days),Inclination (degs),MS Atmosphere Model,Native Amplitude (mag),Only-Horizon Amplitude (mag),Amplitude Difference (mag),Eclipsing?
0.1,0.1,0.0,,,,,
0.1,0.1,5.0,,,,,
0.1,0.1,10.0,,,,,
0.1,0.1,15.0,,,,,
0.1,0.1,20.0,,,,,
0.1,0.1,25.0,,,,,
0.1,0.1,30.0,,,,,
0.1,0.1,35.0,,,,,
0.1,0.1,40.0,,,,,
0.1,0.1,45.0,,,,,
0.1,0.1,50.0,,,,,
0.1,0.1,55.0,,,,,
0.1,0.1,60.0,,,,,
0.1,0.1,65.0,,,,,
0.1,0.1,70.0,,,,,
0.1,0.1,75.0,,,,,
0.1,0.1,80.0,,,,,
0.1,0.1,85.0,,,,,
0.1,0.1,90.0,,,,,
0.1,0.12742749857031338,0.0,,,,,
0.1,0.12742749857031338,5.0,,,,,
0.1,0.12742749857031338,10.0,,,,,
0.1,0.12742749857031338,15.0,,,,,
0.1,0.12742749857031338,20.0,,,,,
0.1,0.12742749857031338,25.0,,,,,
0.1,0.12742749857031338,30.0,,,,,
0.1,0.12742749857031338,35.0,,,,,
0.1,0.12742749857031338,40.0,,,,,
0.1,0.12742749857031338,45.0,,,,,
0.1,0.12742749857031338,50.0,,,,,
0.1,0.12742749857031338,55.0,,,,,
0.1,0.12742749857031338,60.0,,,,,
0.1,0.12742749857031338,65.0,,,,,
0.1,0.12742749857031338,70.0,,,,,
0.1,0.12742749857031338,75.0,,,,,
0.1,0.12742749857031338,80.0,,,,,
0.1,0.12742749857031338,85.0,,,,,
0.1,0.12742749857031338,90.0,,,,,
0.1,0.16237767391887217,0.0,,,,,
0.1,0.16237767391887217,5.0,,,,,
0.1,0.16237767391887217,10.0,,,,,
0.1,0.16237767391887217,15.0,,,,,
0.1,0.16237767391887217,20.0,,,,,
0.1,0.16237767391887217,25.0,,,,,
0.1,0.16237767391887217,30.0,,,,,
0.1,0.16237767391887217,35.0,,,,,
0.1,0.16237767391887217,40.0,,,,,
0.1,0.16237767391887217,45.0,,,,,
0.1,0.16237767391887217,50.0,,,,,
0.1,0.16237767391887217,55.0,,,,,
0.1,0.16237767391887217,60.0,,,,,
0.1,0.16237767391887217,65.0,,,,,
0.1,0.16237767391887217,70.0,,,,,
0.1,0.16237767391887217,75.0,,,,,
0.1,0.16237767391887217,80.0,,,,,
0.1,0.16237767391887217,85.0,,,,,
0.1,0.16237767391887217,90.0,,,,,
0.1,0.20691380811147897,0.0,,,,,
0.1,0.20691380811147897,5.0,,,,,
0.1,0.20691380811147897,10.0,,,,,
0.1,0.20691380811147897,15.0,,,,,
0.1,0.20691380811147897,20.0,,,,,
0.1,0.20691380811147897,25.0,,,,,
0.1,0.20691380811147897,30.0,,,,,
0.1,0.20691380811147897,35.0,,,,,
0.1,0.20691380811147897,40.0,,,,,
0.1,0.20691380811147897,45.0,,,,,
0.1,0.20691380811147897,50.0,,,,,
0.1,0.20691380811147897,55.0,,,,,
0.1,0.20691380811147897,60.0,,,,,
0.1,0.20691380811147897,65.0,,,,,
0.1,0.20691380811147897,70.0,,,,,
0.1,0.20691380811147897,75.0,,,,,
0.1,0.20691380811147897,80.0,,,,,
0.1,0.20691380811147897,85.0,,,,,
0.1,0.20691380811147897,90.0,,,,,
0.1,0.26366508987303583,0.0,,,,,
0.1,0.26366508987303583,5.0,,,,,
0.1,0.26366508987303583,10.0,,,,,
0.1,0.26366508987303583,15.0,,,,,
0.1,0.26366508987303583,20.0,,,,,
0.1,0.26366508987303583,25.0,,,,,
0.1,0.26366508987303583,30.0,,,,,
0.1,0.26366508987303583,35.0,,,,,
0.1,0.26366508987303583,40.0,,,,,
0.1,0.26366508987303583,45.0,,,,,
0.1,0.26366508987303583,50.0,,,,,
0.1,0.26366508987303583,55.0,,,,,
0.1,0.26366508987303583,60.0,,,,,
0.1,0.26366508987303583,65.0,,,,,
